class,card,rarity,conditionalFamilyProbability,expectedBeforeBoss,probabilityAtLeastOne
"assassin","n01","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n02","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n03","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n04","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n05","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n06","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n07","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","n08","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","a01","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","a02","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","a03","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","a04","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"assassin","g01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","g02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","g03","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","g04","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","r01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","r02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","r03","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","r04","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","t01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","t02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","t03","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","t04","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"assassin","a05","elite","0.2333333333333333","2.277333333333333","0.8773359234313322"
"assassin","a06","elite","0.2333333333333333","2.277333333333333","0.8773359234313322"
"assassin","a07","elite","0.2333333333333333","2.277333333333333","0.8773359234313322"
"assassin","g05","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","g06","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","g07","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","r05","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","r06","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","r07","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","t05","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","t06","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","t07","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"assassin","a08","rare","0.35","0.385","0.32215330898074834"
"assassin","a09","rare","0.35","0.385","0.32215330898074834"
"assassin","g08","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"assassin","g09","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"assassin","r08","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"assassin","r09","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"assassin","t08","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"assassin","t09","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"assassin","l01","legendary","0.5","0.057999999999999996","0.05645108112902775"
"assassin","l02","legendary","0.5","0.057999999999999996","0.05645108112902775"
"assassin","d01","god","1","0.0132","0.01312144131508719"
"assassin","i01","immortal","1","0.0014000000000000002","0.0013991602799439118"
"gardien","n01","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n02","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n03","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n04","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n05","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n06","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n07","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","n08","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","a01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","a02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","a03","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","a04","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","g01","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","g02","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","g03","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","g04","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"gardien","r01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","r02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","r03","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","r04","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","t01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","t02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","t03","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","t04","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"gardien","a05","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","a06","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","a07","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","g05","elite","0.2333333333333333","2.277333333333333","0.8773359234313322"
"gardien","g06","elite","0.2333333333333333","2.277333333333333","0.8773359234313322"
"gardien","g07","elite","0.2333333333333333","2.277333333333333","0.8773359234313322"
"gardien","r05","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","r06","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","r07","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","t05","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","t06","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","t07","elite","0.03333333333333334","0.3253333333333334","0.2752906935346522"
"gardien","a08","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"gardien","a09","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"gardien","g08","rare","0.35","0.385","0.32215330898074834"
"gardien","g09","rare","0.35","0.385","0.32215330898074834"
"gardien","r08","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"gardien","r09","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"gardien","t08","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"gardien","t09","rare","0.05000000000000001","0.055000000000000014","0.05358789446260637"
"gardien","l01","legendary","0.5","0.057999999999999996","0.05645108112902775"
"gardien","l02","legendary","0.5","0.057999999999999996","0.05645108112902775"
"gardien","d01","god","1","0.0132","0.01312144131508719"
"gardien","i01","immortal","1","0.0014000000000000002","0.0013991602799439118"
"arpenteur","n01","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n02","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n03","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n04","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n05","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n06","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n07","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","n08","normal","0.05833333333333333","6.305833333333333","0.9984223190843307"
"arpenteur","a01","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
"arpenteur","a02","normal","0.025000000000000005","2.7025000000000006","0.9347053545148942"
